date,cases,total_tests,population,Cases_10k,Test_10k,Rate,hospitalized_covid_confirmed_patients,all_hospital_beds,Hosp_10k,beds_10k,Week,county,Male,Hispanic,Over_65,Over_85,White,Asian,HPI,anycondition,Obesity,Heart_disease,COPD,diabetes,CKD,Urban_rural,Morenitos,C_i,pop_std,mobility
2020-04-26,39.666666666666664,416.0,1685886.0,0.2352867671163214,2.467545255135875,0.0953525641025641,82.66666666666667,1247.3333333333333,0.4903455314693086,7.398681365960291,0,Alameda,49.2,22.4,13.5,1.7,45.5,33.7,89.3,31.3,23.4,4.7,4.4,9.4,2.5,1,12.5,1,0.04201149488302272,34.75372599934346
2020-05-03,41.42857142857143,488.0,1685886.0,0.24573767994141615,2.8946203954478533,0.08489461358313818,75.42857142857143,1746.5714285714287,0.44741205175540594,10.359961637806048,1,Alameda,49.2,22.4,13.5,1.7,45.5,33.7,89.3,31.3,23.4,4.7,4.4,9.4,2.5,1,12.5,1,0.04201149488302272,33.19228503345406
2020-05-10,36.714285714285715,701.1428571428571,1685886.0,0.21777442670670327,4.158898390180932,0.05236348818255909,77.14285714285714,2343.714285714286,0.45758050747711965,13.901973714203011,2,Alameda,49.2,22.4,13.5,1.7,45.5,33.7,89.3,31.3,23.4,4.7,4.4,9.4,2.5,1,12.5,1,0.04201149488302272,36.733972907877124
2020-05-17,52.714285714285715,957.0,1685886.0,0.31268001344269847,5.676540406646713,0.05508284818629646,78.71428571428571,2446.0,0.4669015918886906,14.508691572265265,3,Alameda,49.2,22.4,13.5,1.7,45.5,33.7,89.3,31.3,23.4,4.7,4.4,9.4,2.5,1,12.5,1,0.04201149488302272,41.761704339418145
2020-05-24,48.714285714285715,1119.7142857142858,1685886.0,0.2889536167586997,6.641696328899378,0.043505996427660114,82.14285714285714,2968.0,0.48723850333211816,17.60498633952711,4,Alameda,49.2,22.4,13.5,1.7,45.5,33.7,89.3,31.3,23.4,4.7,4.4,9.4,2.5,1,12.5,1,0.04201149488302272,39.25041311987041
2020-05-31,60.285714285714285,1140.4285714285713,1685886.0,0.3575906928802676,6.764565168870085,0.052862332456470006,97.28571428571429,2968.0,0.5770598622072566,17.60498633952711,5,Alameda,49.2,22.4,13.5,1.7,45.5,33.7,89.3,31.3,23.4,4.7,4.4,9.4,2.5,1,12.5,1,0.04201149488302272,44.93422157246894
2020-06-07,68.0,1912.142857142857,1685886.0,0.40334874362797957,11.342064986261569,0.03556219648860665,88.14285714285714,2968.0,0.5228280983581164,17.60498633952711,6,Alameda,49.2,22.4,13.5,1.7,45.5,33.7,89.3,31.3,23.4,4.7,4.4,9.4,2.5,1,12.5,1,0.04201149488302272,44.85190377985951
2020-06-14,71.42857142857143,1845.5714285714287,1685886.0,0.42368565507140715,10.947189955735018,0.03870268596640607,88.42857142857143,2968.0,0.5245228409784021,17.60498633952711,7,Alameda,49.2,22.4,13.5,1.7,45.5,33.7,89.3,31.3,23.4,4.7,4.4,9.4,2.5,1,12.5,1,0.04201149488302272,45.44071738198933
2020-06-21,71.57142857142857,2177.5714285714284,1685886.0,0.42453302638154994,12.916480880506917,0.03286754575870891,84.71428571428571,2968.0,0.5024911869146887,17.60498633952711,8,Alameda,49.2,22.4,13.5,1.7,45.5,33.7,89.3,31.3,23.4,4.7,4.4,9.4,2.5,1,12.5,1,0.04201149488302272,49.351058787379294
2020-06-28,95.71428571428571,3025.0,1685886.0,0.5677387777956855,17.943087492274092,0.03164108618654073,91.0,2968.0,0.5397755245609727,17.60498633952711,9,Alameda,49.2,22.4,13.5,1.7,45.5,33.7,89.3,31.3,23.4,4.7,4.4,9.4,2.5,1,12.5,1,0.04201149488302272,51.477012771708274
2020-07-05,110.28571428571429,3330.5714285714284,1685886.0,0.6541706514302527,19.75561472466957,0.03311315089645707,134.28571428571428,2968.0,0.7965290315342454,17.60498633952711,10,Alameda,49.2,22.4,13.5,1.7,45.5,33.7,89.3,31.3,23.4,4.7,4.4,9.4,2.5,1,12.5,1,0.04201149488302272,50.609699433738456
2020-07-12,151.28571428571428,3889.714285714286,1685886.0,0.8973662174412402,23.072226032568548,0.03889378580872631,141.57142857142858,2968.0,0.839744968351529,17.60498633952711,11,Alameda,49.2,22.4,13.5,1.7,45.5,33.7,89.3,31.3,23.4,4.7,4.4,9.4,2.5,1,12.5,1,0.04201149488302272,51.98237639412905
2020-07-19,185.57142857142858,3738.4285714285716,1685886.0,1.1007353318755158,22.17485981512731,0.04963888570445948,158.85714285714286,2968.0,0.9422768968788096,17.60498633952711,12,Alameda,49.2,22.4,13.5,1.7,45.5,33.7,89.3,31.3,23.4,4.7,4.4,9.4,2.5,1,12.5,1,0.04201149488302272,52.661972053182424
2020-07-26,228.14285714285714,4758.714285714285,1685886.0,1.3532519822980744,28.22678571216728,0.04794212122121822,181.42857142857142,2254.5714285714284,1.076161563881374,13.373214016673893,13,Alameda,49.2,22.4,13.5,1.7,45.5,33.7,89.3,31.3,23.4,4.7,4.4,9.4,2.5,1,12.5,1,0.04201149488302272,51.6338806567415
2020-08-02,232.85714285714286,4868.571428571428,1685886.0,1.3812152355327874,28.87841424966711,0.047828638497652586,201.0,2391.1428571428573,1.1922514333709398,14.183300989170426,14,Alameda,49.2,22.4,13.5,1.7,45.5,33.7,89.3,31.3,23.4,4.7,4.4,9.4,2.5,1,12.5,1,0.04201149488302272,51.373140576703506
2020-08-09,200.28571428571428,3919.1428571428573,1685886.0,1.1880145768202255,23.24678452245797,0.051104468907195444,179.0,2375.285714285714,1.0617562516089463,14.089242773744573,15,Alameda,49.2,22.4,13.5,1.7,45.5,33.7,89.3,31.3,23.4,4.7,4.4,9.4,2.5,1,12.5,1,0.04201149488302272,52.00581829029672
2020-08-16,192.71428571428572,4531.428571428572,1685886.0,1.1431038973826566,26.87861795773007,0.04252837326607818,173.42857142857142,2361.714285714286,1.0287087705133764,14.008742499281006,16,Alameda,49.2,22.4,13.5,1.7,45.5,33.7,89.3,31.3,23.4,4.7,4.4,9.4,2.5,1,12.5,1,0.04201149488302272,52.19617628678007
2020-08-23,185.0,4480.428571428572,1685886.0,1.0973458466349444,26.576106400009085,0.04129069285463763,200.14285714285714,2410.0,1.1871672055100828,14.295154002109276,17,Alameda,49.2,22.4,13.5,1.7,45.5,33.7,89.3,31.3,23.4,4.7,4.4,9.4,2.5,1,12.5,1,0.04201149488302272,50.39354813260215
2020-08-30,210.85714285714286,4603.142857142857,1685886.0,1.2507200537707939,27.303998355421758,0.04580721246353423,188.42857142857142,2421.5714285714284,1.117682758078372,14.363791078230843,18,Alameda,49.2,22.4,13.5,1.7,45.5,33.7,89.3,31.3,23.4,4.7,4.4,9.4,2.5,1,12.5,1,0.04201149488302272,47.3501831553709
2020-09-06,165.28571428571428,4507.571428571428,1685886.0,0.980408605835236,26.737106948936216,0.036668462586758786,152.14285714285714,2396.285714285714,0.9024504453020972,14.213806356335565,19,Alameda,49.2,22.4,13.5,1.7,45.5,33.7,89.3,31.3,23.4,4.7,4.4,9.4,2.5,1,12.5,1,0.04201149488302272,48.34724247661613
2020-09-13,146.85714285714286,4112.571428571428,1685886.0,0.8710977068268131,24.394125276391335,0.03570932332916493,137.14285714285714,2409.0,0.8134764577371016,14.289222402938277,20,Alameda,49.2,22.4,13.5,1.7,45.5,33.7,89.3,31.3,23.4,4.7,4.4,9.4,2.5,1,12.5,1,0.04201149488302272,49.96619417561794
