date,Alameda,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Tehama,Tulare,Tuolumne,Ventura,Yolo,Yuba
2021-02-28,0.526501192212567,0.8021679648088803,0.7086739288099493,0.7317177449179836,0.5923057038237824,0.5752517060549656,0.7052497785992657,0.6393180410372473,0.6362756556680187,0.7597799327385062,0.6156878149081692,0.5527926093084683,0.5928413962332358,0.6884661214576434,0.5799905150634297,0.6946219593234322,0.6780404747977132,0.526378392402852,0.713926153326496,0.5803392686079059,0.6156455241793668,0.5949539893816755,0.6284944186761281,0.7544319001330442,0.5366488040903948,0.5659363260452102,0.5686849898229045,0.65904227115157,0.6575492505569649,0.6803528930586276,0.5438436028577815,0.5823930703880108,0.5925017700191751,0.6849253651257131,0.6071430954320793,0.5630717811786023,0.59572769196001,0.6859938552449074,0.6027647093179818,0.5374789295848921,0.5761256784672211,0.5311203824498211,0.6357290479259418,0.7571096132166658,0.6498376300901566,0.6270913683695318,0.6102038689759244,0.6773490293256752,0.8064449830826838,0.6552398919800041,0.6657336167388255,0.6088169655320679,0.5949324696676942,0.7202976901029435
2021-03-07,0.49856170259376514,0.7914280146874965,0.7268014874721992,0.7112844094608128,0.6053963672326635,0.5424923822868462,0.7056939378025656,0.6211394186276328,0.6397073732767274,0.7680795694645866,0.6317018468711464,0.5526312960752383,0.5878244399196939,0.6734272023497694,0.5828150764661915,0.6878259092214767,0.7190113793410612,0.5045574830132792,0.7106917736310872,0.5473275539101472,0.610739371013638,0.5758610238651932,0.6298901026637537,0.7547269784608515,0.572541065546171,0.53563823691313,0.5515933076195814,0.6393146725315937,0.6522615995896762,0.6663418967198421,0.5262517989222869,0.5729035470682621,0.584649751696473,0.6817397908429753,0.6051061335459889,0.5289989483321593,0.6282464808496335,0.6831185327086031,0.571767677444649,0.504748204354689,0.55137750755897,0.562914841988697,0.6259415340026467,0.7692833731294304,0.6518591154139664,0.6073972084178852,0.587252136732244,0.684853431705796,0.8175356412600282,0.6471387016975196,0.6542836387273495,0.6167567631063733,0.5638115551895255,0.7018503513590814
2021-03-14,0.4693926620788368,0.7653164666746479,0.6816841169249217,0.6989626432886784,0.6037747247106916,0.5139727069545057,0.6989520466850774,0.5752545166587958,0.6105654951480776,0.7518786968494372,0.6204097301185613,0.5422180244042262,0.6061664851161258,0.6618410417982739,0.5792062587471908,0.7039381965559421,0.6855812830670004,0.48763029703150196,0.6911415248246768,0.5167155765836599,0.6221400257425487,0.5330976703902867,0.6111022154478964,0.7549293178856334,0.5728298040236875,0.5262301019393528,0.5233303531811814,0.6108263426970504,0.6861156452043643,0.6377190329145248,0.5120968133142402,0.5394525593446362,0.5496032178007335,0.6645121070471287,0.5758086034090513,0.5231881037813703,0.6568957213125639,0.6521183477465602,0.5600619544563575,0.47024569327552335,0.5317641561189326,0.5830089001671944,0.5900841329387083,0.7413700824751691,0.631163422671695,0.56842248245443,0.5447074972066642,0.6649895365605719,0.7868943637877083,0.6243160800401384,0.6338352953130596,0.5871545037407773,0.5395088396550934,0.6745672837127208
2021-03-21,0.5005707071063197,0.7727440814307937,0.7043159004410472,0.7013100959014283,0.6453106220067293,0.5403553845658717,0.7581486927743581,0.6068041798993977,0.6422410852931019,0.7755762122735392,0.6665950312919131,0.5745732722079901,0.6431981264928375,0.7065152110305253,0.5855484251827079,0.7194115007837911,0.7328783408313988,0.5333277044413325,0.7358559433419577,0.5435784507131683,0.6139250752176889,0.608130004534264,0.6522833588272351,0.7544571925611419,0.579409872995213,0.5676510479982496,0.5632554965298374,0.6312465550441306,0.6908298389426946,0.6663060679176327,0.5349007995582306,0.6059957294176799,0.5924474339729784,0.702396447761612,0.6460869949920142,0.5783576524602511,0.6217909625076375,0.6795233609888152,0.6207936134791829,0.5059102422181373,0.5993603914554672,0.561852041179898,0.6510434341556556,0.7932675911264886,0.6794484639666537,0.604759842836047,0.5937520097863105,0.6963031488887041,0.8281888100549312,0.6647893799557851,0.6608974710420351,0.6495912804028706,0.5823770250220534,0.7165138280341533
2021-03-28,0.5337915468960067,0.8219677056642355,0.757724619651147,0.7357760391495285,0.6929019533624668,0.569673166091176,0.7728514360883629,0.6359390010319234,0.6783087597844736,0.7971298034738767,0.6976975951275536,0.58473007215479,0.6811372065827506,0.7376871465317445,0.6034815333119761,0.7275655789208301,0.7702719130575468,0.547255400539157,0.7765150193893887,0.5948474696142744,0.5757702571046337,0.6581258121942108,0.6842415890327976,0.755435166447589,0.6396153601539857,0.6160841138185777,0.6077636081996529,0.674901546965727,0.7038614516154189,0.6997827047922992,0.5229271765224668,0.609628818930012,0.6257936708289658,0.7417619269433032,0.6582329639402648,0.5925091333938541,0.5889246581688774,0.7237889864979232,0.6633806805280492,0.5521766528891237,0.6152266120683353,0.52078087736882,0.6782726988365514,0.8218606446354924,0.7349022312555956,0.6425816904096433,0.6306164605220133,0.7318748665383575,0.8678066814093792,0.7055315829736861,0.7165053049441685,0.6657630947718829,0.6158595613109544,0.7295660240653806
2021-04-04,0.5453127159295924,0.8286761445972223,0.7845455176200025,0.7143043829997703,0.7001771692061816,0.5819209341308849,0.7862966570736295,0.6543123773307856,0.7076527345830341,0.8090306214592229,0.7129452467427358,0.5871004528510549,0.6841974436178069,0.7917267565589381,0.5909444227204954,0.7431774838425352,0.7837462875763943,0.5743098728008722,0.8024018775631484,0.6008839902925409,0.563509333082057,0.6925069684280177,0.7269510316265995,0.7540525137115778,0.6612370518564094,0.660244812298859,0.616188114931731,0.7008378052189173,0.713602455429167,0.7460296294958331,0.5372673802972877,0.6391319676698028,0.6425303426942567,0.7383628493806434,0.6957115823379219,0.635079744021782,0.5796211718360905,0.7452631026695412,0.7153834472001758,0.5663109512229282,0.6653145629310415,0.5034855530073011,0.6900236515741315,0.8441621812609473,0.7680125735863627,0.6455415744554936,0.642143583257859,0.7713426645053661,0.8649155959991963,0.7292263992739335,0.7220179801653922,0.6795620387509416,0.6340144869391697,0.7510988867854552
2021-04-11,0.5394749911359057,0.836172761471378,0.785656735750046,0.7485265052695219,0.6765182965560675,0.5806910305329754,0.7904686084874528,0.6697332349621956,0.7128087170836616,0.7748262322090846,0.7253459514480461,0.586200681934078,0.700045420726662,0.7921926498609195,0.642505577232045,0.7521187023709378,0.7294868480323158,0.5714245359732443,0.8088251635664498,0.5876705557318289,0.5759378339230953,0.6947403116708336,0.7207683587855407,0.7522989053634658,0.6429549023545873,0.6730851130782833,0.6267263676369508,0.7430938029618777,0.7509866664575676,0.792225970494992,0.5065908283421371,0.6418436900440693,0.6555499057799101,0.7326154713975445,0.6942191420330491,0.6259111662272099,0.5855995433179959,0.7552756499968973,0.6707806283950299,0.5496887293472369,0.6527225594073395,0.5062839499028684,0.6991910147312822,0.8305523803310854,0.7717554723775988,0.6404143791866824,0.6498107920652755,0.7634428769328725,0.8425093552512753,0.7423220476359093,0.7702204007689792,0.6825853969073353,0.6514662786048994,0.7488234648222231
2021-04-18,0.5417914391978421,0.8254518965556047,0.7814551863141915,0.7530083562053002,0.677957543184357,0.584338547408958,0.8033494916127781,0.6360791239585735,0.6965071961031173,0.8197091600796155,0.7167551540485126,0.5918376419732371,0.6701053958129519,0.764120305087309,0.6302721929120351,0.7529907024848548,0.8044825296848523,0.5605685043990529,0.7879171907658381,0.6068407367672614,0.5683258642851667,0.683650555680517,0.7238444563325349,0.7558398452971532,0.6013704543700131,0.6780821118261635,0.6258462609040948,0.7035829960862988,0.7188052816225768,0.7569760291521318,0.5448265565006004,0.6301211612060867,0.6473986632970018,0.7467839270043444,0.6680162844660937,0.6129739453311979,0.5826535157307771,0.7602620983969108,0.6586814114775738,0.556418990205609,0.6509682356065384,0.5040145190728229,0.7004286259971684,0.8320400503023119,0.7751940602461068,0.6500985676975576,0.6471640096493705,0.7782176263565035,0.8548897093471909,0.7229172880739002,0.7593543765118781,0.6755736727568935,0.6484452876893274,0.74525472878621
2021-04-25,0.5180579268486458,0.8154090342283731,0.7519529568545588,0.7483041666225018,0.6842412162339546,0.5680606998450558,0.7633815308804549,0.6210833713271088,0.6826852495909504,0.812911585075315,0.6930246662227516,0.59263637472276,0.6595557510349178,0.7590716129404962,0.6297053859143403,0.7347959005331799,0.8016332113586423,0.5631761409417217,0.7804737553600348,0.5805876448841254,0.5669286625095861,0.6667097617218337,0.7139271792625131,0.7556712291098346,0.5845338472225327,0.6573877830327345,0.6069933476808825,0.6764473879527249,0.7314297736055748,0.7341486031144882,0.5406703500740698,0.6334920389581792,0.6350880007047718,0.7449874187271719,0.6715794058870497,0.6072871605355296,0.604361144329323,0.7424816325758655,0.6355410834182109,0.536477531228451,0.6456200541346109,0.5147466549126483,0.6882002155443192,0.8045883302683884,0.736946861088696,0.6212252625064261,0.6295573777969208,0.7652436627177215,0.8375336426770063,0.7102780906197875,0.7531393568292872,0.6746257768287091,0.6295530700739619,0.7270900788501585
2021-05-02,0.5547185620589038,0.844260194166518,0.7917210765464775,0.7772214554682206,0.7068523639237039,0.5991512110582857,0.7967587283977239,0.6595537652458914,0.719275854811127,0.8256489612980663,0.7327909355680287,0.5911393732515247,0.6472239758073144,0.7686842526195709,0.6503002918682631,0.7907913992933936,0.8191778763026584,0.584186987624352,0.8118690037277575,0.6262298228830148,0.567236443335797,0.7040242836648803,0.7297110173641774,0.755637505872371,0.5790927291432647,0.6914343597893637,0.6415686124247467,0.7146526068280207,0.7552962942888158,0.7672174198730393,0.5569319623082322,0.6313179709257202,0.6668518940060523,0.7798305671767304,0.6815587540799101,0.6187294338793067,0.5681233510137441,0.7769209420911221,0.6665427238461797,0.5725231086847938,0.6718649710997234,0.48370200096118815,0.7084831192405413,0.8249422306652009,0.7689031133550656,0.6624894823068923,0.663986170012126,0.799429530476062,0.8726618611348836,0.7214089546192749,0.7515018572856492,0.6994034473807947,0.6525637229866891,0.7696824703584451
