date,cases,total_tests,population,Cases_10k,Test_10k,Rate,hospitalized_covid_confirmed_patients,all_hospital_beds,Hosp_10k,beds_10k,Week,county,Male,Hispanic,Over_65,Over_85,White,Asian,HPI,anycondition,Obesity,Heart_disease,COPD,diabetes,CKD,Urban_rural,Morenitos,C_i,pop_std,mobility
2020-11-01,279.2857142857143,5984.142857142857,2468145.0,1.1315612100817183,24.245507687525883,0.04667096373749672,157.85714285714286,3377.0,0.63957807526358,13.68234038113644,4,Riverside,49.8,48.9,14.1,1.7,63.6,8.1,30.4,38.2,28.8,6.0,6.1,11.7,3.1,1,7.8,22,0.061505025273392216,57.78227152505939
2020-11-08,313.42857142857144,6197.142857142857,2468145.0,1.2698952915188186,25.108503986365697,0.05057630244352237,209.42857142857142,3393.285714285714,0.8485262066392834,13.748324001570873,5,Riverside,49.8,48.9,14.1,1.7,63.6,8.1,30.4,38.2,28.8,6.0,6.1,11.7,3.1,1,7.8,22,0.061505025273392216,53.28084946650744
2020-11-15,389.85714285714283,6160.285714285715,2468145.0,1.5795552646102349,24.9591726348562,0.06328556189416075,286.85714285714283,3422.8571428571427,1.1622378055468492,13.868136364991289,6,Riverside,49.8,48.9,14.1,1.7,63.6,8.1,30.4,38.2,28.8,6.0,6.1,11.7,3.1,1,7.8,22,0.061505025273392216,55.60563183287114
2020-11-22,577.0,7471.142857142857,2468145.0,2.3377880959181896,30.27027527614,0.07723048682550002,375.42857142857144,3437.1428571428573,1.5210960921200798,13.926016733793425,7,Riverside,49.8,48.9,14.1,1.7,63.6,8.1,30.4,38.2,28.8,6.0,6.1,11.7,3.1,1,7.8,22,0.061505025273392216,55.27915217338724
2020-11-29,767.8571428571429,8661.857142857143,2468145.0,3.111069823114699,35.09460401579787,0.08864809592136295,507.7142857142857,3401.4285714285716,2.05706830722784,13.78131581178809,8,Riverside,49.8,48.9,14.1,1.7,63.6,8.1,30.4,38.2,28.8,6.0,6.1,11.7,3.1,1,7.8,22,0.061505025273392216,49.84462792091029
2020-12-06,1247.0,11788.0,2468145.0,5.052377392738271,47.76056512076884,0.10578554462164913,656.1428571428571,3498.285714285714,2.6584453390820113,14.173744712266558,9,Riverside,49.8,48.9,14.1,1.7,63.6,8.1,30.4,38.2,28.8,6.0,6.1,11.7,3.1,1,7.8,22,0.061505025273392216,53.11208981723327
2020-12-13,1462.5714285714287,9825.142857142857,2468145.0,5.925792157962473,39.807802447355634,0.14886006746539493,824.4285714285714,3466.0,3.3402760835711494,14.042935078773734,10,Riverside,49.8,48.9,14.1,1.7,63.6,8.1,30.4,38.2,28.8,6.0,6.1,11.7,3.1,1,7.8,22,0.061505025273392216,48.76624726161976
2020-12-20,2485.285714285714,15322.714285714286,2468145.0,10.06944776050724,62.08190477348084,0.1621961793415937,1100.5714285714287,3520.8571428571427,4.459103612516399,14.265195694973928,11,Riverside,49.8,48.9,14.1,1.7,63.6,8.1,30.4,38.2,28.8,6.0,6.1,11.7,3.1,1,7.8,22,0.061505025273392216,50.27656048301866
2020-12-27,3148.8571428571427,16783.14285714286,2468145.0,12.75799089136636,67.999014876123,0.18762023118435162,1335.2857142857142,3495.8571428571427,5.410078071935458,14.163905049570193,12,Riverside,49.8,48.9,14.1,1.7,63.6,8.1,30.4,38.2,28.8,6.0,6.1,11.7,3.1,1,7.8,22,0.061505025273392216,44.72505680023448
2021-01-03,3568.4285714285716,18364.285714285714,2468145.0,14.457937323085035,74.40521409514317,0.19431349669389344,1494.857142857143,3531.8571428571427,6.056601791455295,14.309763578951571,13,Riverside,49.8,48.9,14.1,1.7,63.6,8.1,30.4,38.2,28.8,6.0,6.1,11.7,3.1,1,7.8,22,0.061505025273392216,41.83233666928375
